title,authors,journal,pub_date,doi,pmid,pmcid,topics,source,is_preprint,abstract
Nanopore metagenomic sequencing links clinically relevant resistance determinants to pathogens.,Ürel H; Sauerborn E; Biggel M; Gebhardt F; Foster-Nyarko E; Brugger SD; White RT; Heidelbach S; Albertsen M; Muchaamba F; Reska T; Stevens MJA; Stephan R; Fetherston R; Urban L,Microb Genom,2026-Sep-01,10.1099/mgen.0.001834,42766345,PMC13592730,Antimicrobial Resistance; Long-Read Microbiology; Metagenomics; Bioinformatics Tools,pubmed,False,"Culture-independent metagenomics enables the detection of plasmid-encoded antimicrobial resistance (AMR) genes directly from clinical samples; however, the clinical significance of these genes depends on their bacterial host and genomic context, which metagenomics cannot fully infer. Nanopore sequencing technology intrinsically encodes epigenetic modifications such as methylation, which can be leveraged for plasmid-host associations from metagenomic data. Existing methods rely on the recovery of metagenome-assembled genomes (MAGs), which can introduce bias towards abundant taxa and leave clinically relevant, low-abundance pathogens unassociated. To address this limitation, we extended methylation-based plasmid-host association from the MAG level to individual assembly contigs and sequencing reads. The Contig- and Unassembled-read-based Pathogen Identification and Delineation (CUPID) pipeline implements the calculation of contig and read similarity scores, which compare weighted mean methylation rates across motifs genetically shared between any contig or read pair. We validated this approach on a mock metagenomic community composed of ten carbapenem-resistant Enterobacterales isolates, where we achieved 93.8% accuracy at the contig level and 100% at the read level for carbapenemase plasmid-host associations. When applied to metagenomic and quasimetagenomic data of 16 patient rectal swabs collected during routine hospital surveillance, our approach assigned every detected plasmid-encoded carbapenemase to its correct bacterial host at the contig level, using matched culture-based diagnostics and whole-genome sequencing as the ground truth. Read-level analysis identified additional associations that were missed at the contig level, including a multi-host plasmid confirmed by established diagnostics. These findings demonstrate a pathway from rapid AMR gene detection using metagenomics to actionable surveillance for infection prevention, transmission tracing and outbreak investigation."
"Multidrug resistance, biofilm formation, and pathotype diversity of Escherichia coli isolated from diarrheic lambs in intensive sheep farms, Aksu, Xinjiang, China.",Shi L; Tian W; Xu M; Yu L; Chen X; Cai Q; Xu D; Liu B; Long B; Chen H; Qin H; Han Y; Amantai H; Gu J; Tang M; Zharmukhametova A; Chen J; Li Y,BMC Microbiol,2026-07-25,10.1186/s12866-026-05358-0,42764359,PMC13591691,Antimicrobial Resistance,pubmed,False,"BACKGROUND: Under the One Health framework, the antimicrobial resistance and pathogenicity of Escherichia coli isolated from diarrheic lambs pose a potential threat to public health security. Aksu in Xinjiang is a major intensive mutton sheep breeding base in China. This study aimed to investigate the antimicrobial resistance, virulence gene carriage, biofilm-forming ability, pathotype distribution and phylogenetic group characteristics of E. coli from diarrheic lambs in this region, and analyze their potential correlations.

METHODS: A total of 150 samples were collected from diarrheic lambs in 6 intensive mutton sheep farms. E. coli was isolated and identified via differential media and specific gene detection; the disk diffusion method was used for antimicrobial susceptibility testing. PCR was performed to detect resistance and virulence gene carriage, and E. coli pathotypes were determined based on molecular characteristics. Mouse challenge assay was adopted to evaluate bacterial pathogenicity, crystal violet staining to assess biofilm-forming ability, and PCR to conduct phylogenetic group typing.

RESULTS: A total of 121 E. coli strains were isolated with an isolation rate of 80.7%, including 38.0% multidrug-resistant (MDR) strains and 49.6% pathogenic strains (5 single pathotypes and 7 hybrid pathotypes). Mouse models showed all tested pathogenic strains had pathogenicity. Phylogenetic group analysis showed that group B1 was the predominant phylogroup (76.0%). Moreover, 78.6% of the strains had biofilm-forming ability, and MDR strains exhibited significantly higher biofilm-forming ability than non-MDR strains. The isolated strains harbored abundant resistance and virulence genes, with 13 different types of resistance genes and 18 virulence genes with distinct functions detected in total.

CONCLUSIONS: This is the first systematic report on the diversity characteristics of pathogenic E. coli from diarrheic lambs in intensive sheep farms in Aksu, clarifying the phylogenetic and antimicrobial resistance characteristics of the strains and revealing a significant association between biofilm formation and bacterial resistance. These findings provide a basis for the coordinated management of cross-domain public health risks in underdeveloped regions under the One Health framework, and contribute to the sustainable development of the mutton sheep industry and the safeguard of public health security."
Systematic citywide analysis reveals ecological connectivity of antimicrobial resistance genes across urban water systems.,Liu H; Qi Y; Zhang X; Zhang T; Zhang XX; Ma L,Nat Commun,2026-08-08,10.1038/s41467-026-76356-z,42764294,PMC13590577,Antimicrobial Resistance; Metagenomics,pubmed,False,"Antimicrobial resistance (AMR) in drinking water raises public health concerns, while its anthropogenic sources, transmission dynamics, and health risks remain poorly understood, hindering the development of effective strategies to reduce human exposure. Here we conduct a systematic investigation of anthropogenic contributions to AMR across urban water compartments in a megacity, combining metagenomics and culturomics. We identify 1,309 antibiotic resistance genes (ARGs), and tracking their dynamics across microbial communities and fecal Enterobacteriaceae isolates indicates that ecological connectivity establishes a cascading dissemination pathway: wastewater discharge promotes AMR accumulation in natural water bodies, facilitating its persistence in finished drinking water. Critical human-derived ARGs, primarily conferring resistance to beta-lactams and aminoglycosides, are enriched in clinically relevant pathogens. Further analysis reveals synergistic effects of biotic and abiotic drivers, including horizontal gene transfer (HGT), host proliferation, trace metals, disinfectants, and antibiotic residues, acting with connectivity to drive ARG proliferation. Mechanistic insights reveal that integron-mediated HGT captures and rearranges exogenous ARGs, thereby assembling multi-resistant genetic determinants along connected pathways. We establish a risk prioritization framework integrating dynamics, mobility, pathogenicity and clinical relevance to identify high-risk anthropogenic ARGs. These findings elucidate AMR transmission mechanisms via ecological connectivity, informing targeted interventions to disrupt transmission links and mitigate drinking water risks."
Analysis of Antimicrobial Resistance and Infection Characteristics of Myroides odoratimimus Harboring the bla MOC-1 Metallo-β-Lactamase Gene.,Ding R; Xia G; Tong H,Infect Drug Resist,2026-09-14,10.2147/IDR.S621054,42761903,PMC13588114,Antimicrobial Resistance; Bioinformatics Tools,pubmed,False,"To investigate the drug resistance genotype and phenotypic characteristics of a clinical isolate of Myroides odoratimimus producing metallo-β-lactamase, so as to provide reference for the diagnosis and treatment of similar severe infections in critical care settings. A Gram-negative bacillus isolated from blood cultures of an elderly patient with severe bloodstream infection was identified using the Vitek 2 Compact system combined with 16S rRNA gene sequencing. Antimicrobial susceptibility testing was performed using the broth microdilution method to determine minimum inhibitory concentrations (MICs). Metallo-β-lactamase phenotype was identified by the modified carbapenem inactivation method (mCIM) combined with the EDTA-modified carbapenem inactivation method (eCIM). The isolate was identified as Myroides odoratimimus. Both mCIM and eCIM tests were positive, confirming the production of metallo-β-lactamase. Whole-genome sequencing and database comparison revealed the presence of the blaMOC-1 gene in this strain, and PCR amplification followed by sequencing of electrophoretic bands yielded a 629-bp blaMOC-1 sequence. Antimicrobial susceptibility testing showed that the isolate exhibited broad-spectrum resistance and was only susceptible to minocycline, doxycycline, levofloxacin, and cefepime. The patient presented with severe septic shock, showed no response to empirical therapy, developed multiple organ injury, and exhibited abnormally elevated biomarkers of inflammation, metabolism, and cardiovascular function. The findings of this study suggest that the blaMOC-1 gene is carried by this strain and is associated with its broad-spectrum antimicrobial resistance characteristics."
"Metallo-β-lactamase-producing Pseudomonas aeruginosa: epidemiology, diagnostic challenges and therapeutic strategies in the era of MDR/XDR resistance.",Imeneo A; Capone A; Antonelli V; Perri V; Petriccione I; Lodi A; Fontana C; Cicalini S,Front Microbiol,2026-09-04,10.3389/fmicb.2026.1924442,42761762,PMC13587234,Antimicrobial Resistance,pubmed,False,"BACKGROUND: The management of multidrug-resistant (MDR) Pseudomonas aeruginosa has evolved from an antibiotic-centric approach to a mechanism-driven paradigm. Among resistance determinants, metallo-β-lactamases (MBLs) represent a critical challenge due to their ability to hydrolyse most β-lactams and their increasing global dissemination within high-risk clones.

METHODS: This narrative review aims to summarize the epidemiology, diagnostic approaches and therapeutic strategies for infections caused by MBL-producing P. aeruginosa, emphasizing a mechanism-based clinical framework. A PubMed-MEDLINE search was conducted up to 1 June 2026 using the terms ""Pseudomonas aeruginosa"", ""carbapenem resistance"", and ""metallo-β-lactamase"". Relevant studies were selected based on the authors' assessment of methodological quality and clinical relevance.

RESULTS: P. aeruginosa exhibits multifactorial resistance involving intrinsic mechanisms (efflux pumps, AmpC overexpression, porin loss), adaptive responses and acquired carbapenemases. MBLs, especially VIM, IMP, and emerging NDM variants, are increasingly associated with carbapenem resistance and epidemic high-risk clones (e.g., ST235, ST111). Global epidemiology shows marked geographic variability in prevalence and molecular types. Diagnostic workup remains challenging due to the coexistence of enzymatic and non-enzymatic mechanisms, requiring integrated use of phenotypic antibiotic susceptibility testing (AST), carbapenemase detection assays, molecular diagnostics, and, in selected cases, whole-genome sequencing (WGS). Among treatment, cefiderocol represents the most evidence-supported option for MBL-producing strains. Aztreonam-based combinations offer an alternative treatment option, provided susceptibility is confirmed by synergy testing. Emerging antimicrobials (e.g., taniborbactam-, xeruborbactam-, and zidebactam-containing regimens) and novel strategies such as bacteriophage therapy are regarded as promising alternatives. Evidence for combination therapy remains limited and should be individualized.

CONCLUSIONS: MBL-producing P. aeruginosa requires an integrated, mechanism-based diagnostic and therapeutic strategy incorporating local epidemiology, rapid diagnostics and optimized antimicrobial selection. Ongoing development of novel agents and precision microbiology tools is expected to further refine clinical management."
Prevalence and Antibiotic Resistance Pattern of Escherichia coli Isolated from Urine Samples of Pediatric Outpatients with Underlying Medical Conditions from Pakistan.,Khan MN; Haroon A; Bilal H,Infect Drug Resist,2026-09-14,10.2147/IDR.S638000,42761617,PMC13588129,Antimicrobial Resistance,pubmed,False,"BACKGROUND: Urinary tract infections (UTIs) caused by Escherichia coli pose a significant health burden in children, particularly in those with underlying medical conditions. The emergence of antimicrobial resistance, including extended-spectrum β-lactamase (ESBL) production and multidrug resistance (MDR), complicates treatment strategies. Data on resistance patterns in this vulnerable population remain limited in low-income and middle-income countries.

METHODS: To determine the prevalence and antibiotic resistance patterns of E. coli isolated from urine samples of pediatric outpatients (1-12 years old) with underlying medical conditions. This hospital-based cross-sectional study was conducted at the Pakistan Institute of Medical Sciences (January 2022-January 2023). Urine samples were collected from 941 pediatric outpatients with documented underlying conditions. E. coli were identified biochemically and molecularly. Antimicrobial susceptibility testing was performed using Kirby-Bauer disc diffusion, with ESBL screening and confirmation.

RESULTS: E. coli was detected in 30.08% (283/941) of samples, which was significantly higher in females than in males (38.1%, p <0.001). ESBL production was detected in 30.4% (86/283) of the isolates and MDR isolates in 18.7% (53/283). The highest rates of resistance were observed against ampicillin (70.3%), cephalexin (60.1%), and trimethoprim-sulfamethoxazole (59.4%). Low resistance was noted to nitrofurantoin (2.8%) and amikacin (1.8%). Age was a significant predictor, with 1-year old children showing 2.1-fold 95% CI: 1.01-4.55) and 3.6‑fold (95% CI: 1.60-8.15) increased odds of ESBL production and MDR, respectively, compared to children aged 6-12 years.

CONCLUSION: High rates of ESBL-producing and MDR E. coli in Pakistani children with underlying conditions underscore the critical need for antimicrobial stewardship and empirical therapy guided by local susceptibility patterns, particularly in younger children."
"Prevalence of Fosfomycin-Resistant Escherichia coli from Livestock, Companion Animals, and the Environment in Japan, and Genomic Characterization of Transferable fos Genes.",Fukuda A; Takeda N; Maeda A; Sato T; Horiuchi M; Suzuki Y; Nakajima C; Usui M,Microb Drug Resist,2026-09-18,10.1177/10766294261489643,42758661,,Antimicrobial Resistance,pubmed,False,"Fosfomycin is a highest priority critically important antimicrobial in medical settings and is approved for use in cattle, fish, and humans in Japan. Breakpoints for fosfomycin differ between the antimicrobial susceptibility test guidelines of the Clinical and Laboratory Standards Institute (CLSI) and the European Committee on Antimicrobial Susceptibility Testing (EUCAST). Although important for public health, information on the prevalence of fosfomycin-resistant bacteria and mobile fosfomycin resistance genes (fos) in bacteria of nonhuman origin remains insufficient. In this study, we investigated Escherichia coli strains isolated from animals (cattle, pigs, chickens, and dogs) and the association of these with environments in Japan to determine the prevalence of fosfomycin-resistant E. coli based on CLSI and EUCAST, as well as fos gene prevalence. Susceptibility testing for fosfomycin was retrospectively conducted in 2,057 E. coli, and fos genes were detected in fosfomycin-resistant E. coli. Whole-genome sequencing of fos-positive E. coli was performed. The resistance rates to fosfomycin according to CLSI and EUCAST guidelines were 0.6% and 11.7%, respectively. The fosA3 gene was detected in three E. coli isolates (from one cow and two dogs) in Japan. Two fosA3-positive strains harbored the blaCTX-M-14 or blaCTX-M-65 gene located on the same plasmids. The genetic structures of fosA3-carrying plasmids were almost identical to those reported in Japan and China. Herein, we report the prevalence of fosfomycin resistance in Japan, including fosfomycin-nonapproved fields, showing that these may serve as reservoirs of fosfomycin-resistant bacteria and fos genes carried on globally disseminated mobile genetic elements."
Optimization of culture read times using full microbiology laboratory automation.,Glover JS; Demarest BB; Foster PJ; Bryant KA,J Clin Microbiol,2026-09-18,10.1128/jcm.00232-26,42757838,,Antimicrobial Resistance,pubmed,False,"UNLABELLED: Clinical microbiology laboratories are increasingly adopting automation to meet testing demands, improve throughput, and accelerate diagnostic turnaround. This study evaluated optimal culture read times using Copan WaspLab microbiology laboratory automation (MLA) to determine if earlier read times affect accuracy and turnaround times as they pertain to microbial identification and antimicrobial susceptibility testing (AST). A total of 374 patient specimens were cultured simultaneously using a conventional incubation method and MLA, with MLA images captured from 10 to 72 h of incubation. Non-urine specimens were ready for workup in over 50% of cases at 16 h, 92% by 24 h, and 100% by 36 h, while 90% of urine cultures were ready for workup by 16 h. Using frozen isolates (127 gram-positive bacteria, 83 gram-negative bacteria, and 12 yeasts), we further evaluated the accuracy of MALDI-TOF identification and AST results for cultures incubated for 10 h and 16 h in MLA. Identification accuracy remained high across all groups, with gram-negative bacteria achieving 98.8% accuracy at 10 h and 97.6% at 16 h, gram-positive bacteria showing 97.6% accuracy at 10 h and 98.4% at 16 h, and yeasts demonstrating 91.6% accuracy at 10 h and 100% at 16 h of incubation, respectively. AST results using cultures at both time points demonstrated essential agreement above 90% for most drugs on Vitek 2 GN-807N, GP75, and ST02 AST cards. Minor and major errors were rare; however, elevated error rates were observed for specific drugs (e.g., cefazolin, piperacillin/tazobactam, nitrofurantoin, and linezolid), largely due to a limited number of susceptible isolates and breakpoint-related challenges. MLA enables earlier culture reads while maintaining ID and AST accuracy.

IMPORTANCE: Microbiology laboratory automation (MLA) is increasingly used to address rising test volumes and workforce limitations; however, optimal incubation durations for automated workflows are not well defined. In this study, we demonstrate that cultures from a range of specimen types can be reliably read as early as 16 h and finalized by 36 h without compromising organism identification or antimicrobial susceptibility testing accuracy compared to conventional incubation. These findings support the use of earlier culture read time points in MLA workflows, enabling faster turnaround of clinically actionable results. Implementation of optimized incubation times has the potential to improve laboratory efficiency and accelerate patient care decisions while maintaining diagnostic reliability."
Screening of Forsythia suspensa-derived compounds identifies amentoflavone as a ciprofloxacin-potentiating candidate against MRSA.,Fang Y; Yue T; Zhong J; Zheng H; Li F; Jiang L,Front Microbiol,2026-09-03,10.3389/fmicb.2026.1919329,42756262,PMC13582473,Antimicrobial Resistance,pubmed,False,"Methicillin-resistant Staphylococcus aureus (MRSA) remains a clinically important pathogen, and bacterial efflux systems can reduce intracellular antibiotic accumulation and compromise antibacterial efficacy. NorA, a well-studied multidrug efflux pump in S. aureus, is associated with the efflux of fluoroquinolones and fluorescent substrates such as ethidium bromide (EtBr), making it a potential target for antibiotic adjuvant discovery. In this study, 100 PubChem-identifiable Forsythia suspensa (F. suspensa)-derived small molecules were screened against NorA using CB-Dock2 with AutoDock Vina scoring. Amentoflavone (AME), a naturally occurring biflavonoid, was identified as the top-ranked candidate and displayed a predicted binding pose within the NorA transmembrane cavity, with multiple potential interactions involving residues such as Thr336, Arg310, and Ser133. Molecular dynamics simulation performed using GROMACS 2025.4 further supported the dynamic stability of the predicted AME-NorA complex in a membrane-embedded environment. Functionally, AME increased intracellular EtBr-associated fluorescence in MRSA, suggesting altered EtBr-associated intracellular accumulation or efflux-associated activity. Although AME alone showed no evident direct anti-MRSA activity at concentrations up to 512 μg/mL, its combination with ciprofloxacin enhanced ciprofloxacin-mediated inhibition and killing of MRSA. Specifically, AME reduced the minimum inhibitory concentration (MIC) of ciprofloxacin from 1 to 0.5 μg/mL and the minimum bactericidal concentration (MBC) from 2 to 1 μg/mL. These findings suggest that AME may serve as a F. suspensa-derived ciprofloxacin-potentiating candidate against MRSA, potentially associated with altered efflux-related activity. Further studies using NorA genetic models, membrane permeability assays, intracellular ciprofloxacin accumulation assays, and multiple clinical isolates are needed to clarify the target specificity and broader applicability of AME-mediated ciprofloxacin potentiation."
"Antibiotic residues and antimicrobial resistance patterns of bacteria isolated from beef at Ruti Rufura Slaughterhouse, southwestern Uganda.",Tuhamize B; Daniel K,Front Microbiol,2026-09-03,10.3389/fmicb.2026.1952715,42755973,PMC13582246,Antimicrobial Resistance,pubmed,False,"BACKGROUND: Antimicrobial use in livestock contributes to the emergence of antimicrobial-resistant bacteria and the persistence of antimicrobial residues in foods of animal origin. The coexistence of antimicrobial residues and resistant bacteria in beef poses a major food safety and public health concern. However, data on these hazards in Uganda remain limited. This study assessed antibiotic residues and antimicrobial resistance among bacteria isolated from beef marketed in southwestern Uganda.

METHODS: A cross-sectional laboratory-based study was conducted from May to August 2025 using beef samples from 92 randomly selected cattle carcasses at Ruti Rufura Slaughterhouse, Mbarara City, Uganda. Antibiotic residues were screened by agar well diffusion and confirmed for penicillin and oxytetracycline using thin-layer chromatography. Bacterial isolates were identified using standard microbiological methods, and antimicrobial susceptibility was determined by the Kirby-Bauer disk diffusion method according to CLSI guidelines.

RESULTS: Antibiotic residues were detected in 86/92 (93.5%) samples. Thin-layer chromatography confirmed penicillin residues in 84 (97.7%) and oxytetracycline residues in 71 (82.6%) samples, with 73.1% containing both antibiotics. A total of 125 bacterial isolates representing seven genera were recovered, predominantly Proteus spp. (30.4%), Citrobacter spp. (26.4%), and Escherichia coli (16.8%). Among 75 viable isolates, resistance was highest to ampicillin (97.3%), chloramphenicol (86.7%), tetracycline (82.7%), ceftriaxone (57.3%), and ciprofloxacin (54.7%), while gentamicin showed the highest susceptibility (86.7%). Oxytetracycline residues were significantly associated with tetracycline resistance and penicillin residues with ampicillin resistance (both P < 0.001).

CONCLUSION: Beef marketed in southwestern Uganda frequently contains antimicrobial residues and antimicrobial-resistant bacteria, posing a potential food safety risk. Strengthened antimicrobial stewardship, enforcement of withdrawal periods, and integrated surveillance of antimicrobial residues and resistance in foods of animal origin are needed to support One Health efforts against antimicrobial resistance."
